ID,Kurs,o/i,ER,SIMinGod,IRMinGod,OSMinGod,OTMinGod,OGMinGod,OFMinGod,OEMinGod,Tagovi
271,Detekcija i merenje jonizujućeg zračenja,o,,,,3,,,3,,
272,Osnovi biofizike,o,,,,3,,,3,,
273,Sistemi odlučivanja u medicini,i,,,,3,,,3,,
274,Metode formiranja medicinske slike,o,,,,3,,,4,,
275,Bioinformatika,o,,,,3,,,4,,
276,Primena lasera u medicini,i,,,,3,,,4,,
277,Biomehanika,i,,,,3,,,4,,
278,Dozimetrija i zaštita od zračenja,o,,,,3,,,4,,
279,Nuklearna tehnika,o,,,,3,,,4,,
280,Ekološki obnovljivi izvori energije,i,,,,3,,,4,3,
281,Fizički i tehnički principi funkcionisanja fuzionih reaktora,i,,,,3,,,4,,
282,Elektronika,o,,,,,,,,2,
283,Digitalna elektronika 1,o,,,,,,,,2,
284,Praktikum iz softverskih alata u elektronici,i,,,,,,,,2,
285,Praktikum iz mikrokontrolera,i,,,,,,,,2,
286,Analogna elektronika 1,o,,,,,,,,2,
287,Digitalna elektronika 2,o,,,,,,,,2,
288,Analogna elektronika 2,o,,,,,,,,3,
289,Arhitektura i organizacija namenskih računara,o,,,,,,,,3,
290,Projektovanje VLSI sistema,o,,,,,,,,3,
291,Energetska elektronika,i,,,,,,,,3,
292,Linearna elektronika,i,,,,,,,,3,
293,Računarska elektronika,i,,,,,,,,3,
294,Projektovanje integrisanih kola,i,,,,,,,,3,
295,Mikrokontrolerski računarski sistemi,i,,,,,,,,3,
296,Merni sistemi,i,,,,,,,,3,
297,Projektovanje elektronskih sistema,i,,,,,,,,3,
298,Digitalni VLSI sistemi,i,,,,,,,,4,
299,Razvoj namenskog softvera,i,,,,,,,,4,
300,Analogna integrisana kola,i,,,,,,,,4,
301,Analiza i modelovanje elektronskih kola upotrebom HDL - AMS jezika,i,,,,,,,,4,
302,Elektronska instrumentacija,i,,,,,,,,4,
303,Hardversko - softverska obrada signala,i,,,,,,,,4,
